category,name,description,image_path,display
wedding-cakes,Lily of the Valley,Ethereal white cream cake with hand-crafted sugar lilies and a halo of pearl-white blooms. Timeless. Gorgeous. Will outlast the honeymoon.,images/wedding-cakes/20260120_232401.jpg,yes
wedding-cakes,Autumn Romance,"Three tiers of fondant magic cascading with orange roses, burgundy blooms and calla lilies. The kind of cake guests photograph before they even say congratulations.",images/wedding-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_534.jpg,yes
wedding-cakes,Midnight Blossom,Three-tier white cake draped in cobalt and cream sugar roses. Dramatic. Stunning. The cake that makes the photographer weep a little.,images/wedding-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_542.jpg,no
wedding-cakes,Purple Hydrangea Heaven,Three-tier white cake crowned with a lush dome of real purple hydrangeas and blushing roses. Understated luxury — or as understated as purple hydrangeas get.,images/wedding-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_558.jpg,yes
wedding-cakes,Cascading Rose Dream,White fondant blanketed in a waterfall of ivory and blush sugar roses with pearl accents. Genuinely hard to believe this is cake and not sorcery.,images/wedding-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_680.jpg,yes
wedding-cakes,Sapphire Garden,Three tiers drowning in hundreds of hand-crafted royal blue and ivory sugar roses. A glittering garden for your forever day. She made every single one of those roses by hand.,images/wedding-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_975.jpg,yes
floral-cakes,Sugar Flower Showcase,"A close-up of Ingrid's hand-sculpted sugar roses, ranunculus and tropical blooms. Look at these. LOOK AT THEM. All sugar and food coloring. Ingrid made every petal — frankly unbelievable.",images/floral-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_76.jpg,yes
floral-cakes,The Garden Gift Box,"White striped cylinder with a satin bow, overflowing with fresh roses, strawberries and blooms. Looks like it arrived from a very fancy florist. Tastes better.",images/floral-cakes/20250906_164320.jpg,yes
floral-cakes,Grandmère's Garden,"White cake with blush sugar roses and fresh berries. Elegant, understated, gorgeous. The kind of cake that makes people go quiet for a second before they reach for a fork.",images/floral-cakes/20260226_163323.jpg,yes
floral-cakes,Enchanted Meadow,"Tall white buttercream with hand-piped lavender stems, white daisies and tiny fondant mushrooms. A fairy-tale garden you can eat. No notes.",images/floral-cakes/20260227_222717.jpg,yes
floral-cakes,Lavender Rose Garden,"Two-tier ivory cake with lavender-tinted roses and cherry blossom sprays. Soft, romantic, and genuinely unfair to be this pretty.",images/floral-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_1084.jpg,yes
floral-cakes,Midnight Botanical Garden,Rich dark chocolate cake ringed with a gorgeous wreath of colorful sugar roses and wildflowers. Proof that chocolate and flowers belong together always.,images/floral-cakes/4700e77e-98fc-48ea-827f-3a10d07812d8-1_all_528.jpg,no
